timestamp_ms,emotion,confidence,vectors_used,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
21500,sad,0.7,7,0.0,0.03716,0.03332,0.0293,0.1714,0.12849,1e-05,0.0,0.0,0.04674,0.05953,0.26958,0.28676,0.0218,0.1043,0.13933,0.04329,0.03333,0.0219,0.2564,0.14705,0.02374,0.01162,3e-05,0.00036,0.00043,1e-05,0.00016,0.00216,0.00153,0.03491,0.04465,0.00068,0.0007,5e-05,3e-05,0.02242,0.0195,0.03646,0.00126,0.00165,0.00028,0.12657,0.07349,0.08873,0.08543,0.01399,0.02493,0.00553,0.00839,0.0,0.0
22000,sad,0.6,8,0.0,0.0174,0.01249,0.05868,0.24871,0.18713,1e-05,0.0,0.0,0.16918,0.18694,0.45253,0.44743,0.04007,0.09864,0.12279,0.05538,0.02072,0.01332,0.30102,0.19887,0.01727,0.00913,2e-05,0.00051,0.0009,1e-05,0.00049,0.00152,0.00142,0.00511,0.00628,0.00085,0.00115,6e-05,4e-05,0.01396,0.01844,0.04878,0.00092,0.00289,0.00036,0.11244,0.0528,0.00216,0.0023,0.00473,0.00772,0.00289,0.00372,0.0,0.0
22500,sad,0.6,7,0.0,0.04578,0.05703,0.01815,0.17755,0.11146,1e-05,0.0,0.0,0.12182,0.1465,0.42443,0.41199,0.03556,0.05422,0.11832,0.08278,0.02042,0.01216,0.30797,0.25275,0.00923,0.00306,2e-05,0.00042,0.00043,1e-05,0.00016,0.00106,0.00144,0.0055,0.00631,0.00076,0.00079,5e-05,3e-05,0.01154,0.01985,0.04308,0.00128,0.00155,0.00021,0.13627,0.07344,0.00229,0.00256,0.00524,0.00673,0.00315,0.00539,0.0,0.0
23000,angry,0.8,8,0.0,0.36589,0.40632,0.00032,0.01996,0.00926,1e-05,0.0,0.0,0.12088,0.13134,0.21199,0.22096,0.02078,0.11266,0.1477,0.04135,0.04349,0.03831,0.45732,0.47401,0.00601,0.00205,2e-05,0.00049,0.0017,2e-05,0.00091,0.00157,0.00171,0.00198,0.00244,0.00115,0.00101,5e-05,4e-05,0.01539,0.0203,0.06221,0.00108,0.00448,0.00081,0.09021,0.03638,0.00117,0.00106,0.00311,0.00411,0.0006,0.00096,0.0,0.0
23500,disgusted,0.7,7,0.0,0.31338,0.33865,0.00037,0.02634,0.01269,1e-05,0.0,0.0,0.0868,0.10203,0.18773,0.20573,0.03384,0.07749,0.1027,0.05514,0.0431,0.03684,0.39563,0.39922,0.00882,0.00275,1e-05,0.00061,0.00127,1e-05,0.00066,0.00149,0.00106,0.00209,0.00242,0.00129,0.00246,3e-05,2e-05,0.01659,0.01686,0.08305,0.00047,0.00352,0.00053,0.16027,0.06685,0.0012,0.00088,0.00418,0.00317,0.00092,0.00133,0.0,0.0
24000,sad,0.8,7,0.0,0.25308,0.28041,0.00043,0.0511,0.01934,1e-05,0.0,0.0,0.07736,0.09115,0.12318,0.1395,0.02814,0.07676,0.11721,0.05924,0.07807,0.06742,0.44247,0.41474,0.01066,0.0033,2e-05,0.0004,0.0011,2e-05,0.00047,0.0017,0.00117,0.00209,0.00273,0.00148,0.00104,6e-05,5e-05,0.0158,0.0161,0.08841,0.00115,0.0032,0.0005,0.0873,0.04477,0.00105,0.00086,0.00291,0.00472,0.00043,0.00062,0.0,0.0
24500,sad,0.8,8,0.0,0.23533,0.25077,0.00048,0.04315,0.0196,1e-05,0.0,0.0,0.07723,0.08517,0.13035,0.14605,0.03112,0.08046,0.10424,0.05,0.05863,0.05103,0.446,0.40128,0.00936,0.00293,1e-05,0.00049,0.00189,2e-05,0.001,0.00115,0.00153,0.00247,0.00299,0.00106,0.00116,4e-05,3e-05,0.01522,0.02504,0.07001,0.00089,0.00658,0.00083,0.1327,0.03802,0.00058,0.00056,0.00266,0.00418,0.00023,0.00038,0.0,0.0
25000,sad,0.8,8,0.0,0.25271,0.27139,0.0005,0.0374,0.01693,1e-05,0.0,0.0,0.07969,0.08977,0.13818,0.15103,0.0396,0.07009,0.08775,0.05399,0.05563,0.05049,0.44484,0.42823,0.00896,0.00273,2e-05,0.00055,0.00179,2e-05,0.00089,0.00099,0.00129,0.00298,0.00356,0.00124,0.00107,5e-05,3e-05,0.01304,0.02095,0.086,0.00088,0.00611,0.00075,0.10359,0.03767,0.00053,0.00049,0.00299,0.00423,0.00024,0.00039,0.0,0.0
25500,sad,0.8,7,0.0,0.31481,0.34024,0.0004,0.02679,0.01378,1e-05,0.0,0.0,0.10521,0.10621,0.12562,0.14666,0.02457,0.09105,0.12411,0.04656,0.05974,0.05325,0.45379,0.41656,0.00672,0.00217,2e-05,0.00062,0.00187,2e-05,0.0009,0.00099,0.00136,0.00204,0.00234,0.00162,0.00179,4e-05,3e-05,0.00955,0.01643,0.1476,0.00067,0.00639,0.00077,0.11403,0.04424,0.00037,0.00033,0.00214,0.00268,0.00023,0.00042,0.0,0.0
26000,sad,0.8,8,0.0,0.35529,0.38648,0.00031,0.02258,0.01218,1e-05,0.0,0.0,0.11562,0.11404,0.14509,0.16958,0.02277,0.09605,0.13344,0.04593,0.05187,0.04543,0.4671,0.42668,0.00618,0.00199,1e-05,0.00063,0.00202,2e-05,0.00099,0.00096,0.00139,0.00168,0.00191,0.00165,0.00199,4e-05,3e-05,0.00885,0.01545,0.15793,0.00065,0.0061,0.00088,0.11496,0.04705,0.00034,0.0003,0.00191,0.0024,0.00024,0.00045,0.0,0.0
26500,sad,0.8,7,0.0,0.41904,0.44711,0.00019,0.01572,0.01031,1e-05,0.0,0.0,0.1299,0.12301,0.15162,0.17439,0.02756,0.08281,0.11936,0.05229,0.05133,0.04544,0.51049,0.45472,0.00526,0.00175,2e-05,0.00068,0.0024,3e-05,0.00122,0.00099,0.00137,0.00162,0.00191,0.00155,0.00185,4e-05,3e-05,0.00871,0.01547,0.14806,0.00064,0.00674,0.00108,0.10047,0.03968,0.00031,0.00028,0.00173,0.00255,0.00021,0.00038,0.0,0.0
27000,angry,0.82,8,0.0,0.36347,0.40634,0.00026,0.03777,0.01661,1e-05,0.0,0.0,0.14188,0.1424,0.15695,0.17283,0.02921,0.07926,0.11666,0.0561,0.06781,0.06202,0.54012,0.47621,0.00553,0.00164,2e-05,0.00061,0.0019,3e-05,0.00083,0.00105,0.00099,0.00315,0.00368,0.00162,0.00164,8e-05,7e-05,0.0109,0.01372,0.14665,0.00058,0.0056,0.00076,0.08762,0.03783,0.00045,0.00037,0.0028,0.00365,0.00025,0.00042,0.0,0.0
27500,angry,0.83,7,0.0,0.46408,0.49675,0.00013,0.01267,0.00854,1e-05,0.0,0.0,0.16662,0.15956,0.17087,0.19108,0.03247,0.07791,0.10964,0.05567,0.04814,0.04295,0.56824,0.4564,0.00406,0.00116,2e-05,0.00065,0.0026,3e-05,0.00134,0.00109,0.00116,0.00212,0.00275,0.00145,0.00185,5e-05,4e-05,0.00928,0.01543,0.12604,0.0005,0.00677,0.00104,0.08828,0.03528,0.00037,0.00035,0.00178,0.00411,0.00022,0.00039,0.0,0.0
28000,angry,0.83,8,0.0,0.45749,0.49189,0.00013,0.01332,0.00818,1e-05,0.0,0.0,0.16371,0.16999,0.17291,0.19297,0.03029,0.08297,0.11558,0.05348,0.04839,0.04255,0.56251,0.47321,0.004,0.00109,2e-05,0.00054,0.00237,3e-05,0.00125,0.00107,0.00129,0.00243,0.00291,0.00143,0.00155,5e-05,4e-05,0.01035,0.01613,0.10924,0.00058,0.00575,0.00091,0.08411,0.03628,0.00051,0.00046,0.00239,0.00397,0.00025,0.00045,0.0,0.0
28500,angry,0.84,7,0.0,0.45644,0.49466,0.00015,0.01287,0.0087,1e-05,0.0,0.0,0.17226,0.16691,0.18124,0.19804,0.09408,0.03604,0.06046,0.12554,0.04641,0.04189,0.56975,0.50268,0.00377,0.00111,2e-05,0.00064,0.00251,3e-05,0.00128,0.0009,0.00157,0.00222,0.00261,0.00142,0.00168,5e-05,4e-05,0.00843,0.01863,0.12782,0.00057,0.00687,0.00093,0.0922,0.03633,0.00039,0.00039,0.00187,0.00375,0.00023,0.00044,0.0,0.0
29000,angry,0.83,8,0.0,0.39878,0.43872,0.00021,0.01582,0.01037,1e-05,0.0,0.0,0.16857,0.1644,0.16071,0.17534,0.15995,0.01745,0.03325,0.16983,0.05197,0.04743,0.57012,0.49634,0.00394,0.00108,2e-05,0.00057,0.00227,3e-05,0.00109,0.00087,0.00156,0.00189,0.00224,0.00137,0.00159,6e-05,4e-05,0.00828,0.0201,0.12216,0.00061,0.00614,0.00094,0.0837,0.03381,0.00037,0.0004,0.00168,0.0037,0.00022,0.00042,0.0,0.0
29500,angry,0.82,7,0.0,0.3963,0.42779,0.00023,0.0157,0.00902,1e-05,0.0,0.0,0.17187,0.18011,0.14103,0.15637,0.03744,0.09947,0.11769,0.0519,0.06117,0.05557,0.57073,0.48179,0.00386,0.00094,2e-05,0.00047,0.00194,3e-05,0.00096,0.00093,0.00118,0.00329,0.00407,0.00136,0.00119,6e-05,4e-05,0.00933,0.01595,0.09368,0.00063,0.00442,0.00079,0.06842,0.03342,0.00061,0.0006,0.00285,0.0057,0.00028,0.00051,0.0,0.0
