timestamp_ms,emotion,confidence,vectors_used,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
5000,happy,0.95,8,0.0,0.0671,0.13934,0.01084,0.09769,0.03213,2e-05,0.0,0.0,0.12688,0.13588,0.30743,0.32427,0.01644,0.12433,0.18765,0.05104,0.03223,0.0225,0.375,0.2868,0.00919,0.00393,3e-05,8e-05,0.00021,1e-05,8e-05,0.00401,0.0074,0.00017,0.00018,0.00071,0.00164,3e-05,3e-05,0.02379,0.03307,0.03487,0.00193,0.0007,0.0009,0.15508,0.03388,0.81753,0.84873,0.0059,0.01069,0.04974,0.08657,0.0,0.0
5500,happy,0.95,7,0.0,0.08135,0.16071,0.00922,0.08904,0.02751,2e-05,0.0,0.0,0.11769,0.13059,0.29549,0.30492,0.01138,0.1574,0.22028,0.03992,0.03142,0.02318,0.34106,0.30422,0.00951,0.00398,2e-05,8e-05,0.00023,1e-05,0.0001,0.00336,0.0057,0.00018,0.00019,0.00082,0.00197,3e-05,2e-05,0.01944,0.02688,0.04896,0.00151,0.00072,0.00075,0.15797,0.03517,0.77492,0.81556,0.00453,0.00808,0.03082,0.0601,0.0,0.0
6000,happy,0.9,8,0.0,0.06895,0.11983,0.02029,0.17062,0.04468,2e-05,0.0,0.0,0.09244,0.12787,0.2239,0.25647,0.01424,0.12832,0.19728,0.04695,0.04983,0.03286,0.33876,0.30639,0.01368,0.00445,4e-05,7e-05,0.0002,1e-05,8e-05,0.0018,0.00335,0.00837,0.01092,0.0011,0.00092,8e-05,7e-05,0.01365,0.01806,0.06025,0.00233,0.00061,0.00042,0.15029,0.05894,0.61757,0.66794,0.00954,0.02346,0.0237,0.05066,0.0,0.0
6500,sad,0.8,7,0.0,0.08337,0.11043,0.00548,0.12071,0.04286,1e-05,0.0,0.0,0.06279,0.09612,0.20314,0.23665,0.01128,0.13379,0.23944,0.04658,0.04898,0.03596,0.22084,0.22239,0.0152,0.00795,1e-05,0.00036,0.00044,1e-05,0.0002,0.00052,0.00107,0.13701,0.18049,0.00056,0.0009,2e-05,1e-05,0.00366,0.00946,0.04974,0.00131,0.0015,0.00015,0.7519,0.40573,0.00228,0.00343,0.01147,0.02728,0.05744,0.11163,0.0,0.0
7000,sad,0.85,8,0.0,0.05927,0.0666,0.00818,0.17061,0.07514,1e-05,0.0,0.0,0.05652,0.0444,0.25629,0.26868,0.01612,0.1508,0.19379,0.04083,0.0396,0.03703,0.16507,0.19112,0.01743,0.02197,1e-05,0.00074,0.00059,0.0,0.00036,0.00044,0.00078,0.23119,0.30144,0.00104,0.00187,3e-05,1e-05,0.00189,0.00511,0.1337,0.00076,0.00199,0.00015,0.70818,0.37794,0.00086,0.0011,0.00665,0.01859,0.11051,0.17328,0.0,0.0
7500,sad,0.8,7,0.0,0.05083,0.05957,0.01029,0.18594,0.07277,1e-05,0.0,0.0,0.05655,0.04628,0.30747,0.31681,0.02036,0.13482,0.15916,0.04212,0.0295,0.02829,0.1601,0.22301,0.01629,0.02065,1e-05,0.00101,0.00089,0.0,0.00049,0.00035,0.0008,0.26351,0.3325,0.00097,0.00194,4e-05,2e-05,0.00148,0.00523,0.11656,0.00052,0.00274,0.0002,0.63873,0.3337,0.00058,0.00077,0.00596,0.0143,0.0897,0.15142,0.0,0.0
8000,sad,0.7,8,0.0,0.02321,0.03009,0.10665,0.35368,0.20939,1e-05,0.0,0.0,0.03109,0.02491,0.37227,0.3714,0.01486,0.17219,0.18213,0.02896,0.02316,0.02077,0.09238,0.11946,0.04409,0.06617,2e-05,0.00085,0.00073,1e-05,0.00033,0.00036,0.00083,0.10049,0.12099,0.00124,0.00155,8e-05,4e-05,0.00227,0.00702,0.12588,0.00079,0.00229,0.00018,0.37037,0.2404,0.00079,0.00103,0.00679,0.01023,0.03238,0.05489,0.0,0.0
8500,surprised,0.6,7,0.0,0.0022,0.00245,0.25015,0.55141,0.40789,1e-05,0.0,0.0,0.00924,0.00399,0.48706,0.46967,0.01037,0.22469,0.22061,0.01996,0.0155,0.01073,0.03302,0.02082,0.08542,0.11131,3e-05,0.00075,0.00071,1e-05,0.00033,0.00073,0.00076,0.00804,0.00911,0.00199,0.00109,0.00015,9e-05,0.00449,0.00709,0.14283,0.00145,0.00136,0.00024,0.03139,0.0454,0.00114,0.00129,0.00535,0.00732,0.00795,0.00964,0.0,0.0
9000,contempt,0.85,8,0.0,0.01469,0.00919,0.18077,0.44294,0.2897,1e-05,0.0,0.0,0.01118,0.00647,0.35555,0.34954,0.00714,0.27732,0.27189,0.01721,0.03175,0.03008,0.04173,0.05432,0.07861,0.09236,5e-05,0.0004,0.00043,1e-05,0.00015,0.00055,0.00053,0.01454,0.01937,0.00261,0.00107,0.00022,0.00014,0.00321,0.00548,0.21631,0.00123,0.0011,0.00014,0.03456,0.06075,0.00081,0.00089,0.00713,0.01371,0.01037,0.01178,1e-05,0.0
9500,contempt,0.85,7,0.0,0.00767,0.00698,0.10712,0.41955,0.30313,1e-05,0.0,0.0,0.00845,0.0047,0.37572,0.36818,0.01063,0.20942,0.21871,0.02258,0.02272,0.01592,0.04018,0.02396,0.08679,0.08617,3e-05,0.00064,0.00059,1e-05,0.00024,0.00078,0.00058,0.0062,0.00767,0.00204,0.00115,0.00014,9e-05,0.00529,0.00637,0.18298,0.00138,0.00163,0.0002,0.04009,0.05516,0.00079,0.00075,0.00463,0.00645,0.00541,0.00584,0.0,0.0
10000,contempt,0.85,8,0.0,0.00763,0.00827,0.09641,0.43216,0.28635,1e-05,0.0,0.0,0.01,0.0055,0.42993,0.4261,0.0196,0.12783,0.14995,0.03584,0.01785,0.01359,0.03709,0.02907,0.07848,0.08698,3e-05,0.00055,0.00042,1e-05,0.00016,0.00071,0.00039,0.00883,0.01183,0.00245,0.00138,0.00012,0.0001,0.00405,0.00448,0.25722,0.0011,0.00127,0.00013,0.04039,0.06608,0.0008,0.00075,0.00455,0.01022,0.00702,0.00684,1e-05,0.0
10500,contempt,0.85,7,0.0,0.00372,0.00378,0.17665,0.50904,0.34577,1e-05,0.0,0.0,0.01025,0.00616,0.46555,0.45801,0.01093,0.20922,0.21149,0.02177,0.01552,0.01132,0.03641,0.02526,0.07644,0.08092,3e-05,0.00059,0.00038,1e-05,0.00015,0.00094,0.0004,0.00628,0.00874,0.00252,0.00139,0.00011,0.0001,0.00458,0.00393,0.25429,0.00131,0.00109,0.00014,0.04192,0.06381,0.00094,0.00081,0.0037,0.00991,0.00942,0.00836,1e-05,0.0
11000,contempt,0.85,8,0.0,0.00462,0.00477,0.16412,0.49048,0.32216,1e-05,0.0,0.0,0.0115,0.00787,0.46126,0.4566,0.00796,0.25828,0.25408,0.0174,0.01613,0.01123,0.0386,0.03315,0.06972,0.06803,4e-05,0.00053,0.00037,1e-05,0.00015,0.0008,0.00046,0.00663,0.00867,0.00246,0.00124,0.00012,0.0001,0.00451,0.00487,0.21184,0.0013,0.00094,0.00013,0.03441,0.05786,0.0012,0.00118,0.00461,0.01036,0.00924,0.00956,1e-05,0.0
