frame,timestamp_ms,face_id,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
20,668,0,1.8485026203052257e-06,0.03918633982539177,0.050308387726545334,0.005044299643486738,0.3633880317211151,0.10090231150388718,6.3011530073708855e-06,1.87538645946006e-07,4.484009537009115e-07,0.04785599187016487,0.030438732355833054,0.28199586272239685,0.26610857248306274,0.0015145305078476667,0.5930781364440918,0.5643689632415771,0.0036994325928390026,0.029150545597076416,0.023495959118008614,0.19758138060569763,0.13381211459636688,0.021262336522340775,0.018331006169319153,2.891025178541895e-05,0.00023140206758398563,0.0005364445969462395,3.9525122701888904e-05,0.00021900370484218001,0.00243334355764091,0.0008793602464720607,0.00295160966925323,0.004793642554432154,0.0012763094855472445,0.000257512932876125,4.852055280935019e-05,5.435375351225957e-05,0.019426481798291206,0.010666485875844955,0.1020665317773819,0.0067915297113358974,0.002209004480391741,0.00025382585590705276,0.07283367216587067,0.06397897750139236,0.0019141747616231441,0.0021802792325615883,0.0027829729951918125,0.01948431320488453,0.0013538420898839831,0.001514045987278223,5.254644293017918e-06,1.0685737379390048e-06
22,735,0,1.4972006283642258e-06,0.023386796936392784,0.03407108411192894,0.008504029363393784,0.323796808719635,0.10760603100061417,4.299305146560073e-06,1.3764224604528863e-07,2.94999210836977e-07,0.026596486568450928,0.02216651849448681,0.25309446454048157,0.244979590177536,0.005164393689483404,0.3652482032775879,0.35967057943344116,0.007210973184555769,0.0365925058722496,0.027164006605744362,0.1579839438199997,0.09800858050584793,0.03617491200566292,0.022263210266828537,1.5371453628176823e-05,0.00023581205459777266,0.000558310654014349,3.0299754143925384e-05,0.0002760952338576317,0.0023531969636678696,0.001106233336031437,0.0017975450027734041,0.003190492745488882,0.0014642335008829832,0.0004554257320705801,3.410964200156741e-05,2.9506481951102614e-05,0.01294327899813652,0.011779003776609898,0.12542709708213806,0.004410498309880495,0.0021444314625114202,0.0002514299703761935,0.11848263442516327,0.07026936858892441,0.0012517336290329695,0.0016541073564440012,0.001534188981167972,0.013565587811172009,0.0017276040744036436,0.002032867632806301,3.6948574688722147e-06,6.043425173629657e-07
24,802,0,1.1084473499067826e-06,0.02188817784190178,0.04419427365064621,0.017568906769156456,0.2751389145851135,0.08947442471981049,5.9395929383754265e-06,1.565309020179484e-07,2.1034018971022306e-07,0.03416935354471207,0.03957528993487358,0.2895367443561554,0.29728659987449646,0.004272648598998785,0.3100805878639221,0.3279101550579071,0.017137879505753517,0.03540384769439697,0.023916298523545265,0.16073963046073914,0.13505350053310394,0.03280111402273178,0.01594511605799198,2.781582406896632e-05,0.0002573094971012324,0.00041087789577431977,1.975288068933878e-05,0.00018195566372014582,0.0014789503766223788,0.0008323724614456296,0.003597924718633294,0.005138182546943426,0.0017090367618948221,0.00038100400706753135,6.215567555045709e-05,5.459729436552152e-05,0.00956391915678978,0.008602259680628777,0.12650594115257263,0.004248248413205147,0.0014606481418013573,0.0001852345885708928,0.0725756511092186,0.06024181842803955,0.0012938424479216337,0.0013598332880064845,0.0028972357977181673,0.009471533820033073,0.0028517681639641523,0.0035796717274934053,4.006683411716949e-06,8.623925964457158e-07
26,869,0,9.150289201897976e-07,0.019753549247980118,0.024667169898748398,0.02320200949907303,0.22880755364894867,0.11656147241592407,5.019711807108251e-06,1.2262896120773803e-07,1.050146138936725e-07,0.04875452071428299,0.05148805305361748,0.29984012246131897,0.3049686849117279,0.011070072650909424,0.18611782789230347,0.20768433809280396,0.02474447339773178,0.03428810089826584,0.02210775949060917,0.20702038705348969,0.1372559666633606,0.02457086369395256,0.009945078752934933,2.1641952116624452e-05,0.00026490073651075363,0.0003588510735426098,1.3820082131132949e-05,0.00014245533384382725,0.0011004410916939378,0.0009151619742624462,0.0035881618969142437,0.005368159618228674,0.0014901963295415044,0.0009349345345981419,6.71064481139183e-05,4.1221206629415974e-05,0.0057141431607306,0.010757574811577797,0.11435384303331375,0.0013586339773610234,0.0011250824900344014,0.00015845693997107446,0.08574320375919342,0.08572479337453842,0.0012183755170553923,0.0015770369209349155,0.002443638863041997,0.008998429402709007,0.00500769866630435,0.007320373319089413,3.7154754863877315e-06,5.910650884288771e-07
28,936,0,1.0295865422449424e-06,0.022740304470062256,0.02753848023712635,0.026781028136610985,0.22788551449775696,0.12622150778770447,6.122637842054246e-06,1.4715081420035858e-07,1.2022671569411614e-07,0.04378991201519966,0.04139788821339607,0.26604387164115906,0.2827579975128174,0.014181534759700298,0.14921964704990387,0.18657782673835754,0.03177172318100929,0.03716377913951874,0.025651462376117706,0.17489689588546753,0.1266249120235443,0.02711324580013752,0.01278382446616888,2.922582280007191e-05,0.00029742458718828857,0.0002503349678590894,6.977677003305871e-06,0.00010006343654822558,0.000997240305878222,0.0008258757297880948,0.008367805741727352,0.0107241440564394,0.0015635770978406072,0.001035982626490295,7.559840742032975e-05,4.8045982111943886e-05,0.007363121025264263,0.011318657547235489,0.08493181318044662,0.0010069526033475995,0.0008025767165236175,9.533279080642387e-05,0.07839850336313248,0.10078290104866028,0.003424654481932521,0.003985043615102768,0.007221356965601444,0.012206793762743473,0.011051821522414684,0.016076339408755302,4.148916104895761e-06,7.551103635705658e-07
30,1003,0,7.069563707773341e-07,0.03318963572382927,0.03856545314192772,0.019093448296189308,0.18868230283260345,0.10293538123369217,4.4326075112621766e-06,1.1286673640142908e-07,8.411230112415069e-08,0.03908766061067581,0.037212248891592026,0.30305352807044983,0.3099782168865204,0.0258635263890028,0.09207680821418762,0.12430670112371445,0.04763779789209366,0.03243096545338631,0.021584974601864815,0.16532698273658752,0.11910920590162277,0.03176902234554291,0.013601161539554596,2.349803617107682e-05,0.00030133171821944416,0.00022269200417213142,8.634528967377264e-06,7.677710527786985e-05,0.0007551803137175739,0.0010369112715125084,0.00380796380341053,0.004706703592091799,0.0019256997620686889,0.0011755068553611636,8.17233303678222e-05,4.5464897993952036e-05,0.0047922939993441105,0.011559153907001019,0.14365485310554504,0.0011068852618336678,0.0007225812878459692,9.402182331541553e-05,0.07229811698198318,0.10310529172420502,0.0016585156554356217,0.002221181057393551,0.0035949021112173796,0.006862766575068235,0.007997000589966774,0.012498700059950352,3.7608997445204295e-06,5.199231054575648e-07
32,1070,0,7.292688906090916e-07,0.037100840359926224,0.03664400056004524,0.022438252344727516,0.18216073513031006,0.11607107520103455,3.97545818486833e-06,1.264002946754772e-07,1.0005400241652751e-07,0.039252325892448425,0.028648223727941513,0.3440439701080322,0.335239976644516,0.032802168279886246,0.08503396064043045,0.10352010279893875,0.048497967422008514,0.027446776628494263,0.019229590892791748,0.15645194053649902,0.10467837005853653,0.03137795627117157,0.01783434860408306,2.7230371415498666e-05,0.0003519774181768298,0.00017276564904022962,6.382722858688794e-06,5.7431228924542665e-05,0.0006282186368480325,0.0007687664474360645,0.005091002676635981,0.007214431185275316,0.002517959801480174,0.0016176135977730155,8.468263695249334e-05,5.143651651451364e-05,0.0033398703671991825,0.009334929287433624,0.19692422449588776,0.0007101785740815103,0.0005663377814926207,6.876352563267574e-05,0.060273829847574234,0.11200510710477829,0.0016285758465528488,0.002381056547164917,0.003288193605840206,0.013140127994120121,0.010598327964544296,0.014688057824969292,5.015189799451036e-06,6.102272323005309e-07
34,1136,0,7.969395028339932e-07,0.03554483875632286,0.036469921469688416,0.01942506618797779,0.21350060403347015,0.13128627836704254,4.067393092554994e-06,1.469549033572548e-07,1.125381672295589e-07,0.04161442443728447,0.03199304640293121,0.35649600625038147,0.3502141833305359,0.027131810784339905,0.09335684031248093,0.12386272847652435,0.04857772961258888,0.026362841948866844,0.018843524158000946,0.1497594267129898,0.11970119923353195,0.029711652547121048,0.018035391345620155,2.519476765883155e-05,0.00035771570401266217,0.00019885333313141018,6.861995188955916e-06,7.545658445451409e-05,0.0006058288272470236,0.0007825329666957259,0.0057783424854278564,0.007968995720148087,0.002468418562784791,0.0013371604727581143,7.127334538381547e-05,4.4519842049339786e-05,0.003577574621886015,0.00904359295964241,0.20495453476905823,0.0009737075306475163,0.0006761176628060639,7.347969949478284e-05,0.07603514194488525,0.11077599972486496,0.0015000628773123026,0.002101131249219179,0.003537869080901146,0.012579770758748055,0.010120166465640068,0.01423515286296606,4.383632131066406e-06,6.725057346557151e-07
36,1203,0,7.615794288540201e-07,0.03816753253340721,0.04277653247117996,0.021299783140420914,0.2052973359823227,0.10925418138504028,4.104258096049307e-06,1.4123163794010907e-07,1.2107945224215655e-07,0.0435965359210968,0.04139721766114235,0.3585725426673889,0.35391879081726074,0.020166730508208275,0.12069474160671234,0.15370512008666992,0.039595093578100204,0.02651519514620304,0.019089169800281525,0.1473459005355835,0.12388712912797928,0.028495633974671364,0.014754731208086014,3.021667907887604e-05,0.00038573952042497694,0.0001918309135362506,6.137328909971984e-06,6.985797517700121e-05,0.0005743433721363544,0.0006902061868458986,0.007258347235620022,0.009930627420544624,0.00242313533090055,0.0012861578725278378,7.841314072720706e-05,5.250445974525064e-05,0.0036469188053160906,0.007987113669514656,0.20228807628154755,0.000932572060264647,0.0006893102545291185,7.572250615339726e-05,0.06235111504793167,0.09086604416370392,0.0013835817808285356,0.0018070697551593184,0.003915245644748211,0.013952304609119892,0.00818045437335968,0.010908493772149086,5.11259804625297e-06,7.364402563325712e-07
38,1270,0,6.962728207327018e-07,0.03763265162706375,0.043961282819509506,0.018703028559684753,0.19865360856056213,0.09629473835229874,4.003089088655543e-06,1.41316917279255e-07,1.1956228718190687e-07,0.04533137381076813,0.04675360396504402,0.350283145904541,0.3463476300239563,0.015052820555865765,0.1514379233121872,0.17993250489234924,0.03116384521126747,0.026916218921542168,0.020139552652835846,0.14684291183948517,0.14680413901805878,0.0265668835490942,0.013765075244009495,3.3609925594646484e-05,0.00039002433186396956,0.0001815056602936238,6.2137605709722266e-06,6.0590766224777326e-05,0.0005508596659637988,0.0006563266506418586,0.008601376786828041,0.011353213340044022,0.0023713083937764168,0.0013812868855893612,9.741257963469252e-05,6.2734899984207e-05,0.0037763554137200117,0.008196708746254444,0.19758175313472748,0.0007869535475037992,0.0007049073465168476,7.602283585583791e-05,0.056383248418569565,0.08502215892076492,0.001189817558042705,0.0014811856672167778,0.004416272509843111,0.012867416255176067,0.006889794021844864,0.009226837195456028,5.519453225133475e-06,7.317629524550284e-07
